,name,affiliation,submission_date,draft_uri,title,rfc
55,Manuel Pegourie-Gonnard,ARM,2017-05-05,/api/v1/doc/document/draft-ietf-tls-rfc4492bis/,Elliptic Curve Cryptography (ECC) Cipher Suites for Transport Layer Security (TLS) Versions 1.2 and Earlier,8422
56,John Mattsson,Ericsson,2017-05-25,/api/v1/doc/document/draft-ietf-tls-ecdhe-psk-aead/,ECDHE_PSK with AES-GCM and AES-CCM Cipher Suites for Transport Layer Security (TLS) Protocol version 1.2,8442
57,Daniel Migault,Ericsson,2017-05-25,/api/v1/doc/document/draft-ietf-tls-ecdhe-psk-aead/,ECDHE_PSK with AES-GCM and AES-CCM Cipher Suites for Transport Layer Security (TLS) Protocol version 1.2,8442
58,Eric Rescorla,Mozilla,2018-03-20,/api/v1/doc/document/draft-ietf-tls-tls13/,The Transport Layer Security (TLS) Protocol Version 1.3,8446
59,Joe Salowey,Tableau,2018-05-24,/api/v1/doc/document/draft-ietf-tls-iana-registry-updates/,IANA Registry Updates for Transport Layer Security (TLS) and Datagram Transport Layer Security (DTLS),8447
60,Sean Turner,sn3rd llc,2018-05-24,/api/v1/doc/document/draft-ietf-tls-iana-registry-updates/,IANA Registry Updates for Transport Layer Security (TLS) and Datagram Transport Layer Security (DTLS),8447
61,Martin Thomson,Mozilla,2018-09-27,/api/v1/doc/document/draft-ietf-tls-tls13-vectors/,Example Handshake Traces for TLS 1.3,8448
62,Martin Thomson,Mozilla,2018-05-17,/api/v1/doc/document/draft-ietf-tls-record-limit/,Record Size Limit Extension for Transport Layer Security (TLS),8449
63,David Benjamin,Google,2019-08-22,/api/v1/doc/document/draft-ietf-tls-grease/,Applying GREASE to TLS Extensibility,8701
64,Christian Huitema,Private Octopus Inc,2019-10-28,/api/v1/doc/document/draft-ietf-tls-sni-encryption/,Issues and Requirements for SNI Encryption in TLS,8744
65,Eric Rescorla,Mozilla,2019-10-28,/api/v1/doc/document/draft-ietf-tls-sni-encryption/,Issues and Requirements for SNI Encryption in TLS,8744
66,Russ Housley,Vigil Security,2019-12-23,/api/v1/doc/document/draft-ietf-tls-tls13-cert-with-extern-psk/,TLS 1.3 Extension for Certificate-based Authentication with an External Pre-Shared Key,8773
67,Alessandro Ghedini,Cloudflare,2020-01-06,/api/v1/doc/document/draft-ietf-tls-certificate-compression/,TLS Certificate Compression,8879
68,Victor Vasiliev,Google,2020-01-06,/api/v1/doc/document/draft-ietf-tls-certificate-compression/,TLS Certificate Compression,8879
69,Kathleen Moriarty,Center for Internet Security,2021-01-21,/api/v1/doc/document/draft-ietf-tls-oldversions-deprecate/,Deprecating TLSv1.0 and TLSv1.1,8996
70,Stephen Farrell,Trinity College Dublin,2021-01-21,/api/v1/doc/document/draft-ietf-tls-oldversions-deprecate/,Deprecating TLSv1.0 and TLSv1.1,8996
71,Eric Rescorla,Mozilla,2021-06-22,/api/v1/doc/document/draft-ietf-tls-dtls-connection-id/,Connection Identifiers for DTLS 1.2,9146
72,Hannes Tschofenig,ARM,2021-06-22,/api/v1/doc/document/draft-ietf-tls-dtls-connection-id/,Connection Identifiers for DTLS 1.2,9146
73,Thomas Fossati,ARM,2021-06-22,/api/v1/doc/document/draft-ietf-tls-dtls-connection-id/,Connection Identifiers for DTLS 1.2,9146
74,Achim Kraus,Bosch,2021-06-22,/api/v1/doc/document/draft-ietf-tls-dtls-connection-id/,Connection Identifiers for DTLS 1.2,9146
75,Eric Rescorla,Mozilla,2021-04-30,/api/v1/doc/document/draft-ietf-tls-dtls13/,The Datagram Transport Layer Security (DTLS) Protocol Version 1.3,9147
76,Hannes Tschofenig,ARM,2021-04-30,/api/v1/doc/document/draft-ietf-tls-dtls13/,The Datagram Transport Layer Security (DTLS) Protocol Version 1.3,9147
77,Nagendra Modadugu,Meta,2021-04-30,/api/v1/doc/document/draft-ietf-tls-dtls13/,The Datagram Transport Layer Security (DTLS) Protocol Version 1.3,9147
78,Tommy Pauly,Apple,2020-12-03,/api/v1/doc/document/draft-ietf-tls-ticketrequests/,TLS Ticket Requests,9149
79,David Schinazi,Google,2020-12-03,/api/v1/doc/document/draft-ietf-tls-ticketrequests/,TLS Ticket Requests,9149
80,Christopher A. Wood,Cloudflare,2020-12-03,/api/v1/doc/document/draft-ietf-tls-ticketrequests/,TLS Ticket Requests,9149
81,Loganaden Velvindron,Cyberstorm,2021-09-20,/api/v1/doc/document/draft-ietf-tls-md5-sha1-deprecate/,Deprecating MD5 and SHA-1 signature hashes in (D)TLS 1.2,9155
82,Kathleen Moriarty,Center for Internet Security,2021-09-20,/api/v1/doc/document/draft-ietf-tls-md5-sha1-deprecate/,Deprecating MD5 and SHA-1 signature hashes in (D)TLS 1.2,9155
83,Alessandro Ghedini,Cloudflare,2021-09-20,/api/v1/doc/document/draft-ietf-tls-md5-sha1-deprecate/,Deprecating MD5 and SHA-1 signature hashes in (D)TLS 1.2,9155
84,Russ Housley,Vigil Security,2022-02-04,/api/v1/doc/document/draft-ietf-tls-external-psk-guidance/,Guidance for External PSK Usage in TLS,9257
85,Jonathan Hoyland,Cloudflare,2022-02-04,/api/v1/doc/document/draft-ietf-tls-external-psk-guidance/,Guidance for External PSK Usage in TLS,9257
86,Mohit Sethi,KONE,2022-02-04,/api/v1/doc/document/draft-ietf-tls-external-psk-guidance/,Guidance for External PSK Usage in TLS,9257
87,Christopher A. Wood,Cloudflare,2022-02-04,/api/v1/doc/document/draft-ietf-tls-external-psk-guidance/,Guidance for External PSK Usage in TLS,9257
88,David Benjamin,Google,2022-04-22,/api/v1/doc/document/draft-ietf-tls-external-psk-importer/,Importing External PSKs for TLS,9258
89,Christopher A. Wood,Cloudflare,2022-04-22,/api/v1/doc/document/draft-ietf-tls-external-psk-importer/,Importing External PSKs for TLS,9258
90,Nick Sullivan,Cloudflare,2022-03-04,/api/v1/doc/document/draft-ietf-tls-exported-authenticator/,Exported Authenticators in TLS,9261
91,Richard Barnes,Cisco,2022-06-15,/api/v1/doc/document/draft-ietf-tls-subcerts/,Delegated Credentials for (D)TLS,9345
92,Subodh Iyengar,Meta,2022-06-15,/api/v1/doc/document/draft-ietf-tls-subcerts/,Delegated Credentials for (D)TLS,9345
93,Nick Sullivan,Cloudflare,2022-06-15,/api/v1/doc/document/draft-ietf-tls-subcerts/,Delegated Credentials for (D)TLS,9345
94,Eric Rescorla,Mozilla,2022-06-15,/api/v1/doc/document/draft-ietf-tls-subcerts/,Delegated Credentials for (D)TLS,9345
